team1: (2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)
team2: (1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 3)
team3: (4, 1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 5, 6)
team4: (3, 2, 1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 5, 6, 7)
team5: (6, 7, 2, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 3, 4, 8, 9)
team6: (5, 8, 9, 2, 1, 12, 13, 14, 15, 16, 17, 18, 19, 20, 3, 4, 7, 10, 11)
team7: (8, 5, 6, 3, 2, 14, 15, 16, 17, 18, 19, 20, 1, 4, 9, 10, 11, 12, 13)
team8: (7, 6, 3, 4, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 1, 2, 5, 9)
team9: (10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 1, 2, 3, 4, 5, 6, 7, 8)
team10: (9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 1, 2, 3, 4, 5, 6, 7, 8, 11)
team11: (12, 9, 10, 15, 16, 17, 18, 19, 20, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14)
team12: (11, 10, 9, 16, 15, 18, 17, 20, 19, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14)
team13: (14, 15, 16, 17, 18, 19, 20, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)
team14: (13, 16, 15, 18, 17, 20, 19, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)
team15: (16, 13, 14, 19, 20, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18)
team16: (15, 14, 13, 20, 19, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18)
team17: (18, 19, 20, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)
team18: (17, 20, 19, 6, 2, 15, 4, 1, 3, 14, 5, 8, 10, 13, 7, 9, 11, 12, 16)
team19: (20, 17, 18, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)
team20: (19, 18, 17, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)
